ELEMENT,HOLE,X,Y
RIM,R1,-31.68008149,-6.156415843
RIM,R1,-31.81398602,-6.168603987
RIM,R1,-31.8879621,-6.224585612
RIM,R1,-32.02139112,-6.233572438
RIM,R1,-32.036962,-6.334086428
RIM,R1,-32.15082579,-6.35613595
RIM,R1,-32.22588232,-6.408488069
RIM,R1,-32.33955557,-6.427876097
RIM,R1,-32.31989975,-6.559425288
RIM,R1,-32.33969776,-6.658999144
RIM,R1,-32.41682333,-6.709027988
RIM,R1,-32.38276554,-6.858588715
RIM,R1,-32.36917956,-6.992358649
RIM,R1,-32.46705687,-7.024583109
RIM,R1,-32.5649127,-7.055634401
RIM,R1,-32.68071753,-7.068148919
RIM,R1,-32.72484542,-7.149274496
RIM,R1,-32.76983316,-7.230166838
RIM,R1,-32.78063458,-7.346479626
RIM,R1,-32.86238524,-7.391216448
RIM,R1,-33.03385169,-7.340788635
RIM,R1,-33.04361673,-7.459807757
RIM,R1,-33.19342866,-7.428069168
RIM,R1,-33.27523741,-7.468605496
RIM,R1,-33.37379952,-7.489557208
RIM,R1,-33.40660676,-7.584831281
RIM,R1,-33.45681091,-7.661090103
RIM,R1,-33.44356638,-7.81365332
RIM,R1,-33.48019824,-7.90915198
RIM,R1,-33.64386405,-7.849174211
RIM,R1,-33.66591357,-7.963037996
RIM,R1,-33.6586868,-8.116510762
RIM,R1,-33.71453825,-8.191373239
RIM,R1,-33.86148676,-8.146082202
RIM,R1,-33.91793701,-8.2194364
RIM,R1,-34.06336895,-8.171071643
RIM,R1,-34.1639353,-8.181860959
RIM,R1,-34.17819917,-8.31439325
RIM,R1,-34.23681654,-8.385483969
RIM,R1,-34.26827274,-8.497635119
RIM,R1,-34.2874522,-8.630718258
RIM,R1,-34.41744989,-8.596373321
RIM,R1,-34.5061115,-8.623677533
RIM,R1,-34.63456745,-8.586486974
RIM,R1,-34.6835771,-8.675613672
RIM,R1,-34.79811544,-8.657389737
RIM,R1,-34.88655099,-8.680913791
RIM,R1,-35,-8.660254038
RIM,R1,-35.02652204,-8.790592529
RIM,R1,-35.07918235,-8.877390027
RIM,R1,-35.16876755,-8.898023266
RIM,R1,-35.18791648,-9.050212827
RIM,R1,-35.22090185,-9.180562123
RIM,R1,-35.32389785,-9.177367199
RIM,R1,-35.42647242,-9.173077206
RIM,R1,-35.53957358,-9.145229421
RIM,R1,-35.60878681,-9.2063699
RIM,R1,-35.67872827,-9.266997122
RIM,R1,-35.7286596,-9.37260109
RIM,R1,-35.82078099,-9.386679577
RIM,R1,-35.96465942,-9.280647953
RIM,R1,-36.01454249,-9.389149505
RIM,R1,-36.14446442,-9.30808629
RIM,R1,-36.23520374,-9.318197738
RIM,R1,-36.33498773,-9.30417568
RIM,R1,-36.39840211,-9.382483286
RIM,R1,-36.47166063,-9.436972307
RIM,R1,-36.51139454,-9.584864732
RIM,R1,-36.57847969,-9.662075284
RIM,R1,-36.71176164,-9.549737614
RIM,R1,-36.77142512,-9.649193192
RIM,R1,-36.81712496,-9.795882118
RIM,R1,-36.89521262,-9.847127516
RIM,R1,-37.01780861,-9.754308511
RIM,R1,-37.0959431,-9.803931789
RIM,R1,-37.21606271,-9.708743129
RIM,R1,-37.31425432,-9.684486055
RIM,R1,-37.37298669,-9.804147137
RIM,R1,-37.45238346,-9.850902241
RIM,R1,-37.52030057,-9.945531194
RIM,R1,-37.58384048,-10.06402868
RIM,R1,-37.69425169,-9.987293164
RIM,R1,-37.78690495,-9.982626673
RIM,R1,-37.89489413,-9.903744457
RIM,R1,-37.97143127,-9.97073387
RIM,R1,-38.07282915,-9.914434553
RIM,R1,-38.16397708,-9.906293194
RIM,R1,-38.26351822,-9.84807753
RIM,R1,-38.33301918,-9.961484576
RIM,R1,-38.41219018,-10.02503666
RIM,R1,-38.50342971,-10.01378562
RIM,R1,-38.57347572,-10.1502477
RIM,R1,-38.64905391,-10.26145432
RIM,R1,-38.74474576,-10.22322536
RIM,R1,-38.83966706,-10.18411152
